Date,Energy Source,Value,Generation (TWh)
2001-12-01,Bioenergy,8456.51,8.45651
2001-12-01,Clean,184576.35,184.57635000000002
2001-12-01,Coal,314804.72,314.80472
2001-12-01,Fossil,424497.4,424.4974
2001-12-01,Gas,95081.76000000001,95.08176
2001-12-01,Gas and Other Fossil,109692.68,109.69268
2001-12-01,Hydro,37447.47,37.44747
2001-12-01,"Hydro, Bioenergy and Other Renewables",48483.28,48.48328
2001-12-01,Nuclear,134861.75,134.86175
2001-12-01,Other Fossil,14610.92,14.61092
2001-12-01,Other Renewables,2579.3,2.5793000000000004
2001-12-01,Renewables,49714.6,49.7146
2001-12-01,Total Generation,609073.75,609.07375
2001-12-01,Wind,1231.32,1.23132
2001-12-01,Wind and Solar,1231.32,1.23132
2002-01-01,Bioenergy,8977.57,8.97757
2002-01-01,Clean,197362.52,197.36252
2002-01-01,Coal,328716.06,328.71605999999997
2002-01-01,Fossil,440230.27,440.23027
2002-01-01,Gas,96825.65000000001,96.82565000000001
2002-01-01,Gas and Other Fossil,111514.20999999999,111.51420999999999
2002-01-01,Hydro,42089.64000000001,42.08964000000001
2002-01-01,"Hydro, Bioenergy and Other Renewables",53888.009999999995,53.888009999999994
2002-01-01,Nuclear,141851.71,141.85171
2002-01-01,Other Fossil,14688.56,14.688559999999999
2002-01-01,Other Renewables,2820.7999999999997,2.8207999999999998
2002-01-01,Renewables,55510.81,55.51081
2002-01-01,Total Generation,637592.79,637.59279
2002-01-01,Wind,1622.8,1.6228
2002-01-01,Wind and Solar,1622.8,1.6228
2002-02-01,Bioenergy,7860.15,7.86015
2002-02-01,Clean,174279.35,174.27935
2002-02-01,Coal,286097.66,286.09765999999996
2002-02-01,Fossil,386973.64,386.97364
2002-02-01,Gas,88616.86,88.61686
2002-02-01,Gas and Other Fossil,100875.98,100.87598
2002-02-01,Hydro,39210.96000000001,39.21096000000001
2002-02-01,"Hydro, Bioenergy and Other Renewables",49534.9,49.5349
2002-02-01,Nuclear,123316.56999999999,123.31657
2002-02-01,Other Fossil,12259.12,12.259120000000001
2002-02-01,Other Renewables,2463.79,2.46379
2002-02-01,Renewables,50962.78,50.96278
2002-02-01,Total Generation,561252.99,561.25299
2002-02-01,Wind,1427.8799999999999,1.4278799999999998
2002-02-01,Wind and Solar,1427.8799999999999,1.4278799999999998
2002-03-01,Bioenergy,8425.160000000002,8.425160000000002
2002-03-01,Clean,179623.61000000002,179.62361
2002-03-01,Coal,302971.32,302.97132
2002-03-01,Fossil,423099.29000000004,423.09929000000005
2002-03-01,Gas,102428.94,102.42894
2002-03-01,Gas and Other Fossil,120127.96,120.12796
2002-03-01,Hydro,40649.39,40.64939
2002-03-01,"Hydro, Bioenergy and Other Renewables",51838.13,51.83813
2002-03-01,Nuclear,126081.28,126.08127999999999
2002-03-01,Other Fossil,17699.02,17.69902
2002-03-01,Other Renewables,2763.58,2.76358
2002-03-01,Renewables,53542.33,53.54233
2002-03-01,Total Generation,602722.89,602.72289
2002-03-01,Wind,1704.2,1.7042
2002-03-01,Wind and Solar,1704.2,1.7042
2002-04-01,Bioenergy,8715.9,8.7159
2002-04-01,Clean,177431.69999999998,177.43169999999998
2002-04-01,Coal,284609.19,284.60919
2002-04-01,Fossil,399814.79,399.81478999999996
2002-04-01,Gas,98292.84,98.29284
2002-04-01,Gas and Other Fossil,115205.6,115.2056
2002-04-01,Hydro,47323.68,47.32368
2002-04-01,"Hydro, Bioenergy and Other Renewables",58508.72,58.508720000000004
2002-04-01,Nuclear,116874.14,116.87414
2002-04-01,Other Fossil,16912.76,16.91276
2002-04-01,Other Renewables,2469.14,2.46914
2002-04-01,Renewables,60557.56,60.557559999999995
2002-04-01,Total Generation,577246.4899999999,577.2464899999999
2002-04-01,Wind,2048.84,2.04884
2002-04-01,Wind and Solar,2048.84,2.04884
2002-05-01,Bioenergy,8816.71,8.816709999999999
2002-05-01,Clean,191960.69,191.96069
2002-05-01,Coal,302812.83,302.81283
2002-05-01,Fossil,420593.1,420.5931
2002-05-01,Gas,100550.51,100.55050999999999
2002-05-01,Gas and Other Fossil,117780.27,117.78027
2002-05-01,Hydro,52247.8,52.247800000000005
2002-05-01,"Hydro, Bioenergy and Other Renewables",63741.04,63.74104
2002-05-01,Nuclear,126064.37000000001,126.06437000000001
2002-05-01,Other Fossil,17229.76,17.22976
2002-05-01,Other Renewables,2676.5299999999997,2.6765299999999996
2002-05-01,Renewables,65896.32,65.89632
2002-05-01,Total Generation,612553.79,612.55379
2002-05-01,Wind,2155.28,2.1552800000000003
2002-05-01,Wind and Solar,2155.28,2.1552800000000003
2002-06-01,Bioenergy,9386.16,9.38616
2002-06-01,Clean,201668.84999999998,201.66884999999996
2002-06-01,Coal,329335.39999999997,329.3354
2002-06-01,Fossil,477736.8,477.7368
2002-06-01,Gas,131262.01,131.26201
2002-06-01,Gas and Other Fossil,148401.4,148.4014
2002-06-01,Hydro,54699.54,54.69954
2002-06-01,"Hydro, Bioenergy and Other Renewables",66672.42,66.67242
2002-06-01,Nuclear,132743.80000000002,132.74380000000002
2002-06-01,Other Fossil,17139.39,17.13939
2002-06-01,Other Renewables,2586.72,2.5867199999999997
2002-06-01,Renewables,68925.05,68.92505
2002-06-01,Total Generation,679405.65,679.40565
2002-06-01,Wind,2252.63,2.25263
2002-06-01,Wind and Solar,2252.63,2.25263
2002-07-01,Bioenergy,9636.42,9.63642
2002-07-01,Clean,203987.14,203.98714
2002-07-01,Coal,366389.37,366.38937
2002-07-01,Fossil,556372.51,556.37251
2002-07-01,Gas,167834.52000000002,167.83452000000003
2002-07-01,Gas and Other Fossil,189983.15,189.98315
2002-07-01,Hydro,48945.57,48.94557
2002-07-01,"Hydro, Bioenergy and Other Renewables",61364.57,61.36457
2002-07-01,Nuclear,140841.66,140.84166
2002-07-01,Other Fossil,22148.63,22.14863
